Number of Variables;5;
Variables:;
0;;this;
1;;step;
2;;nodeTest;
3;;nodeType;
4;;nodeTest;

Number of Block duas;21;
Line Duas for method; isSimpleStep;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;93;;114;0;this;
2;93;;102;0;this;
3;93;93;94;1;step;
4;93;93;104;1;step;
5;93;104;104;1;step;
6;93;104;106;1;step;
7;93;;106;1;step;
8;93;;114;1;step;
9;93;104;106;1;step;
10;93;104;116;1;step;
11;93;;94;1;step;
12;93;;102;1;step;
13;94;95;96;2;nodeTest;
14;94;95;98;2;nodeTest;
15;94;;98;2;nodeTest;
16;98;99;100;3;nodeType;
17;98;99;102;3;nodeType;
18;106;107;108;2;nodeTest;
19;106;107;111;2;nodeTest;
20;106;111;112;2;nodeTest;
21;106;111;114;2;nodeTest;

Block Duas for method; isSimpleStep;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;4;0;this;
;93;;114;0;this;
2;0;;11;0;this;
;93;;102;0;this;
3;0;0;9;1;step;
;93;93;94;1;step;
4;0;0;1;1;step;
;93;93;104;1;step;
5;0;1;7;1;step;
;93;104;104;1;step;
6;0;1;2;1;step;
;93;104;106;1;step;
7;0;;2;1;step;
;93;;106;1;step;
8;0;;4;1;step;
;93;;114;1;step;
9;0;7;2;1;step;
;93;104;106;1;step;
10;0;7;8;1;step;
;93;104;116;1;step;
11;0;;9;1;step;
;93;;94;1;step;
12;0;;11;1;step;
;93;;102;1;step;
13;9;9;13;2;nodeTest;
;94;95;96;2;nodeTest;
14;9;9;10;2;nodeTest;
;94;95;98;2;nodeTest;
15;9;;10;2;nodeTest;
;94;;98;2;nodeTest;
16;10;10;12;3;nodeType;
;98;99;100;3;nodeType;
17;10;10;11;3;nodeType;
;98;99;102;3;nodeType;
18;2;2;6;4;nodeTest;
;106;107;108;2;nodeTest;
19;2;2;3;4;nodeTest;
;106;107;111;2;nodeTest;
20;2;3;5;4;nodeTest;
;106;111;112;2;nodeTest;
21;2;3;4;4;nodeTest;
;106;111;114;2;nodeTest;
