Number of Variables;6;
Variables:;
0;;a;
1;;n;
2;;sortupto;
3;;maxpos;
4;;mymax;
5;;index;

Number of Block duas;42;
Line Duas for method; sort;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;7;;10;1;a;
2;7;;19;1;a;
3;7;13;14;1;a;
4;7;13;17;1;a;
5;7;;14;1;a;
6;7;9;10;2;n;
7;7;9;25;2;n;
8;7;12;13;2;n;
9;7;12;19;2;n;
10;7;9;10;3;sortupto;
11;7;9;25;3;sortupto;
12;7;;10;3;sortupto;
13;7;;11;3;sortupto;
14;7;;19;3;sortupto;
15;7;;21;3;sortupto;
16;7;;23;3;sortupto;
17;8;;22;4;maxpos;
18;10;;21;5;mymax;
19;10;13;14;5;mymax;
20;10;13;17;5;mymax;
21;11;12;13;6;index;
22;11;12;19;6;index;
23;11;13;14;6;index;
24;11;13;17;6;index;
25;11;;17;6;index;
26;11;;14;6;index;
27;11;;15;6;index;
28;14;;21;5;mymax;
29;14;13;14;5;mymax;
30;14;13;17;5;mymax;
31;15;;22;4;maxpos;
32;17;12;13;6;index;
33;17;12;19;6;index;
34;17;13;14;6;index;
35;17;13;17;6;index;
36;17;;17;6;index;
37;17;;14;6;index;
38;17;;15;6;index;
39;20;;10;1;a;
40;20;;19;1;a;
41;20;13;14;1;a;
42;20;13;17;1;a;
43;20;;14;1;a;
44;23;9;10;3;sortupto;
45;23;9;25;3;sortupto;
46;23;;10;3;sortupto;
47;23;;11;3;sortupto;
48;23;;19;3;sortupto;
49;23;;21;3;sortupto;
50;23;;23;3;sortupto;

Block Duas for method; sort;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;3;0;a;
;7;;10;1;a;
2;0;;5;0;a;
;7;;19;1;a;
3;0;6;8;0;a;
;7;13;14;1;a;
4;0;6;7;0;a;
;7;13;17;1;a;
5;0;;8;0;a;
;7;;14;1;a;
6;0;1;3;1;n;
;7;9;10;2;n;
7;0;1;2;1;n;
;7;9;25;2;n;
8;0;4;6;1;n;
;7;12;13;2;n;
9;0;4;5;1;n;
;7;12;19;2;n;
10;0;1;3;2;sortupto;
;7;9;10;3;sortupto;
11;0;1;2;2;sortupto;
;7;9;25;3;sortupto;
12;0;;3;2;sortupto;
;7;;10;3;sortupto;
;7;;11;3;sortupto;
13;0;;5;2;sortupto;
;7;;19;3;sortupto;
;7;;21;3;sortupto;
;7;;23;3;sortupto;
14;0;;5;3;maxpos;
;8;;22;4;maxpos;
15;3;;5;4;mymax;
;10;;21;5;mymax;
16;3;6;8;4;mymax;
;10;13;14;5;mymax;
17;3;6;7;4;mymax;
;10;13;17;5;mymax;
18;3;4;6;5;index;
;11;12;13;6;index;
19;3;4;5;5;index;
;11;12;19;6;index;
20;3;6;8;5;index;
;11;13;14;6;index;
21;3;6;7;5;index;
;11;13;17;6;index;
22;3;;7;5;index;
;11;;17;6;index;
23;3;;8;5;index;
;11;;14;6;index;
;11;;15;6;index;
24;8;;5;4;mymax;
;14;;21;5;mymax;
25;8;6;8;4;mymax;
;14;13;14;5;mymax;
26;8;6;7;4;mymax;
;14;13;17;5;mymax;
27;8;;5;3;maxpos;
;15;;22;4;maxpos;
28;7;4;6;5;index;
;17;12;13;6;index;
29;7;4;5;5;index;
;17;12;19;6;index;
30;7;6;8;5;index;
;17;13;14;6;index;
31;7;6;7;5;index;
;17;13;17;6;index;
32;7;;7;5;index;
;17;;17;6;index;
33;7;;8;5;index;
;17;;14;6;index;
;17;;15;6;index;
34;5;;3;0;a;
;20;;10;1;a;
35;5;;5;0;a;
;20;;19;1;a;
36;5;6;8;0;a;
;20;13;14;1;a;
37;5;6;7;0;a;
;20;13;17;1;a;
38;5;;8;0;a;
;20;;14;1;a;
39;5;1;3;2;sortupto;
;23;9;10;3;sortupto;
40;5;1;2;2;sortupto;
;23;9;25;3;sortupto;
41;5;;3;2;sortupto;
;23;;10;3;sortupto;
;23;;11;3;sortupto;
42;5;;5;2;sortupto;
;23;;19;3;sortupto;
;23;;21;3;sortupto;
;23;;23;3;sortupto;
